sno,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,state_code,extract_date,total,date
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198.0,2020-07-19
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203.0,2020-07-20
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207.0,2020-07-21
