state_name,active,death,extract_date
Andhra Pradesh,22260,586,2020-07-19
Andhra Pradesh,26118,642,2020-07-20
Andhra Pradesh,28800,696,2020-07-21
Andhra Pradesh,32336,758,2020-07-22
Andhra Pradesh,31763,823,2020-07-23 10:49:43
Andhra Pradesh,34272,884,2020-07-24 15:21:33
Andhra Pradesh,39990,933,2020-07-25 20:49:42
Andhra Pradesh,44431,985,2020-07-26 11:38
Andhra Pradesh,48956,1041,2020-07-27 10:20:57
Andhra Pradesh,51701,1090,2020-07-29 21:00:27
Andhra Pradesh,56527,1148,2020-07-30 18:00:13
Andhra Pradesh,63771,1213,2020-07-31 18:00:13
Andhra Pradesh,69252,1281,2020-08-01 18:00:13
Andhra Pradesh,75720,1349,2020-08-02 18:00:12
Andhra Pradesh,72188,1407,2020-08-03 18:00:13
Andhra Pradesh,74404,1474,2020-08-04 18:00:12
Andhra Pradesh,76377,1537,2020-08-05 18:00:13
Andhra Pradesh,79104,1604,2020-08-06 18:00:12
Andhra Pradesh,80426,1681,2020-08-07 18:00:12
Andhra Pradesh,82166,1753,2020-08-08 20:00:24
Andhra Pradesh,84654,1842,2020-08-09 20:00:13
Andhra Pradesh,85486,1939,2020-08-10 20:00:25
Andhra Pradesh,87112,2036,2020-08-11 20:00:31
Andhra Pradesh,87773,2116,2020-08-12 20:00:44
Andhra Pradesh,87597,2203,2020-08-13 20:00:14
Andhra Pradesh,90425,2296,2020-08-14 20:00:29
Andhra Pradesh,90780,2378,2020-08-15 20:00:16
Andhra Pradesh,89907,2475,2020-08-16 20:00:14
Andhra Pradesh,88138,2562,2020-08-17 20:00:14
Andhra Pradesh,85945,2650,2020-08-18 20:00:15
Andhra Pradesh,84777,2732,2020-08-19 20:00:17
Andhra Pradesh,85130,2820,2020-08-20 20:00:15
Andhra Pradesh,86725,2906,2020-08-21 20:00:16
Andhra Pradesh,87177,3001,2020-08-22 20:00:33
Andhra Pradesh,87803,3092,2020-08-23 20:00:14
Andhra Pradesh,89389,3189,2020-08-24 20:00:13
Andhra Pradesh,89742,3282,2020-08-25 20:00:14
Andhra Pradesh,89516,3368,2020-08-26 20:00:13
Andhra Pradesh,89932,3460,2020-08-27 20:00:47
Andhra Pradesh,92208,3541,2020-08-28 20:00:36
Andhra Pradesh,94209,3633,2020-08-29 20:00:18
Andhra Pradesh,96191,3714,2020-08-30 20:00:18
Andhra Pradesh,97681,3796,2020-08-31 20:00:14
Andhra Pradesh,99129,3884,2020-09-01 20:00:13
Andhra Pradesh,100276,3969,2020-09-02 20:00:13
Andhra Pradesh,101210,4053,2020-09-03 20:00:13
Andhra Pradesh,103076,4125,2020-09-04 20:00:13
Andhra Pradesh,103521,4200,2020-09-05 16:00:13
Andhra Pradesh,102067,4276,2020-09-06 20:00:14
Andhra Pradesh,100880,4347,2020-09-07 20:00:13
Andhra Pradesh,99689,4417,2020-09-08 20:00:13
Andhra Pradesh,97932,4487,2020-09-09 20:00:17
Andhra Pradesh,96769,4560,2020-09-10 20:00:14
Andhra Pradesh,97271,4634,2020-09-11 20:00:34
Andhra Pradesh,97338,4702,2020-09-12 20:00:55
Andhra Pradesh,96191,4779,2020-09-13 20:00:16
Andhra Pradesh,95733,4846,2020-09-14 20:00:15
Andhra Pradesh,95072,4912,2020-09-15 20:00:18
Andhra Pradesh,93204,4972,2020-09-16 16:00:15
Andhra Pradesh,92353,5041,2020-09-17 20:00:32
Andhra Pradesh,90279,5105,2020-09-18 20:00:13
Andhra Pradesh,88197,5177,2020-09-19 20:00:14
Andhra Pradesh,84423,5244,2020-09-20 20:00:32
Andhra Pradesh,81763,5302,2020-09-21 20:00:13
Andhra Pradesh,78836,5359,2020-09-22 20:00:17
Andhra Pradesh,74518,5410,2020-09-23 20:00:35
Andhra Pradesh,71465,5461,2020-09-24 20:00:13
Andhra Pradesh,70357,5506,2020-09-25 20:00:13
Andhra Pradesh,69353,5558,2020-09-26 20:00:34
Andhra Pradesh,67683,5606,2020-09-27 20:00:34
Andhra Pradesh,65794,5663,2020-09-28 20:00:13
Andhra Pradesh,64876,5708,2020-09-29 20:00:13
Andhra Pradesh,63116,5745,2020-09-30 20:00:18
Andhra Pradesh,59435,5780,2020-10-01 20:00:13
Andhra Pradesh,58445,5828,2020-10-02 20:00:13
Andhra Pradesh,57858,5869,2020-10-03 20:00:13
Andhra Pradesh,56897,5900,2020-10-04 20:00:19
Andhra Pradesh,55282,5941,2020-10-05 20:00:54
Andhra Pradesh,54400,5981,2020-10-06 20:00:49
Andhra Pradesh,51060,6019,2020-10-07 20:00:13
Andhra Pradesh,50776,6052,2020-10-08 20:00:57
Andhra Pradesh,49513,6086,2020-10-09 20:00:49
Andhra Pradesh,48661,6128,2020-10-10 20:00:13
Andhra Pradesh,47665,6159,2020-10-11 20:00:18
Andhra Pradesh,46624,6194,2020-10-12 20:00:42
Andhra Pradesh,46295,6224,2020-10-13 20:00:19
Andhra Pradesh,43983,6256,2020-10-14 12:00:13
Andhra Pradesh,42855,6291,2020-10-15 20:00:21
Andhra Pradesh,41669,6319,2020-10-16 20:00:17
Andhra Pradesh,40047,6357,2020-10-17 20:00:14
Andhra Pradesh,38979,6382,2020-10-18 16:00:18
Andhra Pradesh,37102,6406,2020-10-19 20:00:22
Andhra Pradesh,36474,6429,2020-10-20 20:00:19
Andhra Pradesh,35065,6453,2020-10-21 20:00:18
Andhra Pradesh,33396,6481,2020-10-22 20:00:13
Andhra Pradesh,32376,6508,2020-10-23 20:00:34
Andhra Pradesh,32257,6524,2020-10-24 20:00:13
Andhra Pradesh,31721,6544,2020-10-25 20:00:13
Andhra Pradesh,31469,6566,2020-10-26 20:00:13
Andhra Pradesh,30860,6587,2020-10-27 20:00:13
Andhra Pradesh,28770,6606,2020-10-28 20:00:18
Andhra Pradesh,27300,6625,2020-10-29 20:00:17
Andhra Pradesh,26622,6643,2020-10-30 20:00:18
Andhra Pradesh,26268,6659,2020-10-31 20:00:13
Andhra Pradesh,25514,6676,2020-11-01 20:00:17
Andhra Pradesh,24575,6690,2020-11-02 20:00:18
Andhra Pradesh,23668,6706,2020-11-03 20:00:17
Andhra Pradesh,22538,6719,2020-11-04 20:00:17
Andhra Pradesh,21672,6734,2020-11-05 20:00:12
Andhra Pradesh,21438,6744,2020-11-06 20:00:16
Andhra Pradesh,21878,6757,2020-11-07 20:00:13
Andhra Pradesh,21825,6768,2020-11-08 20:00:17
Andhra Pradesh,21434,6779,2020-11-09 20:00:19
Andhra Pradesh,21403,6791,2020-11-10 20:00:17
Andhra Pradesh,21235,6802,2020-11-11 20:00:13
Andhra Pradesh,20958,6814,2020-11-12 20:00:13
Andhra Pradesh,20915,6828,2020-11-13 20:00:17
Andhra Pradesh,20857,6837,2020-11-14 20:00:13
Andhra Pradesh,20262,6847,2020-11-15 20:00:17
Delhi,16711,3597,2020-07-19
Delhi,16031,3628,2020-07-20
Delhi,15166,3663,2020-07-21
Delhi,15288,3690,2020-07-22
Delhi,14954,3719,2020-07-23 10:49:43
Delhi,14554,3745,2020-07-24 15:21:33
Delhi,13681,3777,2020-07-25 20:49:42
Delhi,12657,3806,2020-07-26 11:38
Delhi,11904,3827,2020-07-27 10:20:57
Delhi,10994,3853,2020-07-29 21:00:27
Delhi,10887,3881,2020-07-30 18:00:13
Delhi,10770,3907,2020-07-31 18:00:13
Delhi,10743,3936,2020-08-01 18:00:13
Delhi,10705,3963,2020-08-02 18:00:12
Delhi,10596,3989,2020-08-03 18:00:13
Delhi,10356,4004,2020-08-04 18:00:12
Delhi,10207,4021,2020-08-05 18:00:13
Delhi,9897,4033,2020-08-06 18:00:12
Delhi,10072,4044,2020-08-07 18:00:12
Delhi,10348,4059,2020-08-08 20:00:24
Delhi,10409,4082,2020-08-09 20:00:13
Delhi,10667,4098,2020-08-10 20:00:25
Delhi,10729,4111,2020-08-11 20:00:31
Delhi,10346,4131,2020-08-12 20:00:44
Delhi,10868,4139,2020-08-13 20:00:14
Delhi,10946,4153,2020-08-14 20:00:29
Delhi,10975,4167,2020-08-15 20:00:16
Delhi,11366,4178,2020-08-16 20:00:14
Delhi,11489,4188,2020-08-17 20:00:14
Delhi,10823,4196,2020-08-18 20:00:15
Delhi,10852,4214,2020-08-19 20:00:17
Delhi,11068,4226,2020-08-20 20:00:15
Delhi,11137,4235,2020-08-21 20:00:16
Delhi,11271,4257,2020-08-22 20:00:33
Delhi,11426,4270,2020-08-23 20:00:14
Delhi,11594,4284,2020-08-24 20:00:13
Delhi,11778,4300,2020-08-25 20:00:14
Delhi,11626,4313,2020-08-26 20:00:13
Delhi,11998,4330,2020-08-27 20:00:47
Delhi,12520,4347,2020-08-28 20:00:36
Delhi,13208,4369,2020-08-29 20:00:18
Delhi,13550,4389,2020-08-30 20:00:18
Delhi,14040,4404,2020-08-31 20:00:14
Delhi,14793,4426,2020-09-01 20:00:13
Delhi,14626,4444,2020-09-02 20:00:13
Delhi,15870,4462,2020-09-03 20:00:13
Delhi,16502,4481,2020-09-04 20:00:13
Delhi,17692,4500,2020-09-05 16:00:13
Delhi,18842,4513,2020-09-06 20:00:14
Delhi,19870,4538,2020-09-07 20:00:13
Delhi,20909,4567,2020-09-08 20:00:13
Delhi,20543,4599,2020-09-09 20:00:17
Delhi,22377,4618,2020-09-10 20:00:14
Delhi,23773,4638,2020-09-11 20:00:34
Delhi,25416,4666,2020-09-12 20:00:55
Delhi,26907,4687,2020-09-13 20:00:16
Delhi,28059,4715,2020-09-14 20:00:15
Delhi,28812,4744,2020-09-15 20:00:18
Delhi,28641,4770,2020-09-16 16:00:15
Delhi,29787,4806,2020-09-17 20:00:32
Delhi,30914,4839,2020-09-18 20:00:13
Delhi,31721,4877,2020-09-19 20:00:14
Delhi,32250,4907,2020-09-20 20:00:32
Delhi,32064,4945,2020-09-21 20:00:13
Delhi,32097,4982,2020-09-22 20:00:17
Delhi,30941,5014,2020-09-23 20:00:35
