sno,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,state_code,extract_date,total,date
1,Andaman and Nicobar Islands,53,,145,0,,,,,,2020-07-19,198,2020-07-19
1,Andaman and Nicobar Islands,58,,145,0,,,,,,2020-07-20,203,2020-07-20
1,Andaman and Nicobar Islands,55,,152,0,,,,,,2020-07-21,207,2020-07-21
1,Andaman and Nicobar Islands,53,,159,0,,,,,,2020-07-22,212,2020-07-22
1,Andaman and Nicobar Islands,58,,163,0,,,,,,2020-07-23 10:49:43,221,2020-07-23
1,Andaman and Nicobar Islands,70,,170,0,,,,,,2020-07-24 15:21:33,240,2020-07-24
1,Andaman and Nicobar Islands,85,,174,0,,,,,,2020-07-25 20:49:42,259,2020-07-25
1,Andaman and Nicobar Islands,114,,176,0,,,,,,2020-07-26 11:38,290,2020-07-26
1,Andaman and Nicobar Islands,142,,182,0,,,,,,2020-07-27 10:20:57,324,2020-07-27
2,Andaman and Nicobar Islands,145,338.0,192,1,166.0,363.0,196.0,1.0,35.0,2020-07-29 21:00:27,338,2020-07-29
2,Andaman and Nicobar Islands,166,363.0,196,1,225.0,428.0,201.0,2.0,35.0,2020-07-30 18:00:13,363,2020-07-30
2,Andaman and Nicobar Islands,225,428.0,201,2,266.0,471.0,201.0,4.0,35.0,2020-07-31 18:00:13,428,2020-07-31
2,Andaman and Nicobar Islands,266,471.0,201,4,329.0,548.0,214.0,5.0,35.0,2020-08-01 18:00:13,471,2020-08-01
2,Andaman and Nicobar Islands,329,548.0,214,5,403.0,636.0,226.0,7.0,35.0,2020-08-02 18:00:12,548,2020-08-02
2,Andaman and Nicobar Islands,403,636.0,226,7,484.0,734.0,242.0,8.0,35.0,2020-08-03 18:00:13,636,2020-08-03
2,Andaman and Nicobar Islands,484,734.0,242,8,557.0,830.0,263.0,10.0,35.0,2020-08-04 18:00:12,734,2020-08-04
2,Andaman and Nicobar Islands,557,830.0,263,10,639.0,928.0,277.0,12.0,35.0,2020-08-05 18:00:13,830,2020-08-05
2,Andaman and Nicobar Islands,639,928.0,277,12,687.0,1027.0,326.0,14.0,35.0,2020-08-06 18:00:12,928,2020-08-06
